CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
SPD;Sozialdemokratische Partei Deutschlands;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
AfD;Alternative für Deutschland;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
DIE LINKE;DIE LINKE;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
FDP;Freie Demokratische Partei;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
FREIE WÄHLER;FREIE WÄHLER;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
FAMILIE;Familien-Partei Deutschlands;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
Volt;Volt Deutschland;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
PIRATEN;Piratenpartei Deutschland;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;1;Die EU soll eigene Steuern erheben dürfen.;stimme zu;1
HEIMAT;Die Heimat;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
TIERSCHUTZ hier!;Aktion Partei für Tierschutz;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
Partei für schulmedizinische Verjüngungsforschung;Partei für schulmedizinische Verjüngungsforschung;1;Die EU soll eigene Steuern erheben dürfen.;neutral;0
BIG;Bündnis für Innovation & Gerechtigkeit;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
Bündnis C;Bündnis C - Christen für Deutschland;1;Die EU soll eigene Steuern erheben dürfen.;stimme nicht zu;-1
