"Rövid név","Teljes név","Lista típusa","Jelöltek száma","Lista státusza","Lista státusz dátum"
"MEMO","Megoldás Mozgalom","Önálló lista",7,"Nyilvántartásba véve","2024. május 6."
"LMP – Zöldek","LMP- Magyarország Zöld Pártja","Önálló lista",14,"Nyilvántartásba véve","2024. május 9."
"DK-MSZP-Párbeszéd- ZÖLDEK","Demokratikus Koalíció-Magyar Szocialista Párt-Párbeszéd - a Zöldek Pártja","Közös lista",61,"Nyilvántartásba véve","2024. május 6."
"2RK Párt","Második Reformkor Párt","Önálló lista",23,"Nyilvántartásba véve","2024. május 9."
"MMN","Mindenki Magyarországa Néppárt","Önálló lista",8,"Nyilvántartásba véve","2024. május 9."
"Momentum","Momentum Mozgalom","Önálló lista",30,"Nyilvántartásba véve","2024. május 9."
"FIDESZ-KDNP","FIDESZ - Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Közös lista",63,"Nyilvántartásba véve","2024. április 27."
"Jobbik","Jobbik – Konzervatívok","Önálló lista",16,"Nyilvántartásba véve","2024. május 9."
"Új Alternatíva","Új Alternatíva Párt","Önálló lista",2,"Nyilvántartásba vétel visszautasítva","2024. május 9."
"TISZA","Tisztelet és Szabadság Párt","Önálló lista",12,"Nyilvántartásba véve","2024. május 6."
"MKKP","Magyar Kétfarkú Kutya Párt","Önálló lista",9,"Nyilvántartásba véve","2024. május 6."
"Mi Hazánk","Mi Hazánk Mozgalom","Önálló lista",63,"Nyilvántartásba véve","2024. május 3."
"Nép Pártján","Nép Pártján","Önálló lista",5,"Nyilvántartásba vétel visszautasítva","2024. május 9."
